town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town02,0,10,66,19,38.28,1,229.65,2.79,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,14,66,19,38.28,1,229.2,0.56,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,10,6,71,10.57,1,193.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,14,6,71,100.0,5,106.15,2.34,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,66,28,32.3,1,229.55,2.79,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,14,66,28,32.3,1,229.15,1.67,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,10,46,32,39.14,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,14,46,32,18.89,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,25,59,27.11,0,23.65,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,14,25,59,27.11,0,23.3,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,32,9,35.73,1,212.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,14,32,9,35.44,1,209.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,10,43,72,100.0,3,51.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,14,43,72,19.98,0,12.25,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,54,14,19.67,2,207.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,14,54,14,90.62,5,184.9,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,26,50,100.0,2,61.85,25.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,14,26,50,100.0,2,61.2,24.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,38,69,100.0,1,54.15,22.35,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,14,38,69,100.0,1,53.8,22.38,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,10,75,24,100.0,4,81.75,9.66,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
