town,traffic,weather,start,target,route_completion,lights_ran,duration
Town02,2,10,71,29,34.83,0,20.7
Town02,2,14,71,29,49.36,0,28.3
Town02,2,10,59,16,3.19,1,287.65
Town02,2,14,59,16,19.28,3,406.0
Town02,2,10,6,66,24.06,1,18.15
Town02,2,14,6,66,24.06,1,17.85
Town02,2,10,83,56,34.21,1,20.65
Town02,2,14,83,56,36.46,1,22.35
Town02,2,10,69,71,29.56,1,59.35
Town02,2,14,69,71,28.2,1,52.0
Town02,2,10,82,28,20.12,0,17.9
Town02,2,14,82,28,21.32,1,18.6
Town02,2,10,8,17,100.0,1,64.95
Town02,2,14,8,17,100.0,1,65.55
Town02,2,10,19,12,32.01,0,32.8
Town02,2,14,19,12,49.38,0,130.4
Town02,2,10,39,18,4.82,1,370.05
Town02,2,14,39,18,96.26,3,102.3
Town02,2,10,51,8,100.0,1,56.1
Town02,2,14,51,8,100.0,1,55.2
Town02,2,10,24,36,21.61,0,20.65
Town02,2,14,24,36,21.61,0,21.05
Town02,2,10,64,73,68.35,1,34.05
Town02,2,14,64,73,5.79,0,5.05
