town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,14,119,185,42.97,0,249.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,236,223,27.5,0,43.7,11.4,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,236,223,22.4,0,216.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,217,152,45.79,1,122.7,13.97,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,217,152,51.1,1,138.9,13.65,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,78,225,46.71,1,332.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,14,78,225,65.22,2,158.4,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,103,21,100.0,3,138.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,103,21,60.98,2,268.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,127,87,100.0,1,214.1,25.52,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,127,87,100.0,1,213.85,25.85,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,19,103,42.62,2,65.9,2.68,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,19,103,59.32,3,119.4,1.93,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,230,210,100.0,0,37.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,230,210,100.0,0,37.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,250,190,37.77,1,40.3,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,250,190,37.55,1,41.2,0.43,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,220,118,29.96,0,138.55,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,220,118,29.96,0,105.7,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,200,224,51.55,3,89.15,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,200,224,83.96,4,194.6,10.93,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,11,17,42.43,1,26.85,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,11,17,66.65,2,42.65,5.16,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,78,245,81.33,1,388.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,78,245,100.0,1,107.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,3,175,100.0,4,103.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,3,175,0.9,0,329.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,92,112,100.0,3,181.65,0.91,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,92,112,65.12,0,118.15,1.61,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,233,238,96.44,4,158.0,0.69,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,233,238,100.0,4,161.4,1.51,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,4,54,100.0,3,175.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,4,54,48.42,1,351.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,17,205,59.22,5,514.65,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,17,205,21.52,2,223.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,221,210,62.04,1,90.5,18.88,FAILURE,SUCCESS,FAILURE,SUCCESS,SUCCESS
Town01,1,14,221,210,100.0,2,174.4,1.14,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
