12/25/21 23:34:19 INFO	val_fps: 0.93	std: 0.09	min: 0.70	max: 1.02	n: 10
12/25/21 23:40:28 INFO	train_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.03	n: 1
12/25/21 23:40:28 INFO	train_fps: 2.86	std: 0.13	min: 0.13	max: 2.94	n: 1000
12/25/21 23:40:28 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.04	n: 10
12/25/21 23:40:28 INFO	val_fps: 0.88	std: 0.15	min: 0.63	max: 1.02	n: 10
12/25/21 23:46:35 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/25/21 23:46:35 INFO	train_fps: 2.87	std: 0.11	min: 0.11	max: 2.95	n: 1000
12/25/21 23:46:35 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.03	n: 10
12/25/21 23:46:35 INFO	val_fps: 0.94	std: 0.10	min: 0.69	max: 1.09	n: 10
12/25/21 23:52:44 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/25/21 23:52:44 INFO	train_fps: 2.87	std: 0.12	min: 0.11	max: 2.95	n: 1000
12/25/21 23:52:44 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.03	n: 10
12/25/21 23:52:44 INFO	val_fps: 0.93	std: 0.11	min: 0.63	max: 1.07	n: 10
12/25/21 23:58:52 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/25/21 23:58:52 INFO	train_fps: 2.86	std: 0.13	min: 0.13	max: 2.97	n: 1000
12/25/21 23:58:52 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.02	max: 0.04	n: 10
12/25/21 23:58:52 INFO	val_fps: 0.96	std: 0.11	min: 0.70	max: 1.09	n: 10
12/26/21 00:04:59 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:04:59 INFO	train_fps: 2.87	std: 0.11	min: 0.12	max: 2.95	n: 1000
12/26/21 00:04:59 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.02	max: 0.03	n: 10
12/26/21 00:04:59 INFO	val_fps: 0.93	std: 0.10	min: 0.68	max: 1.03	n: 10
12/26/21 00:11:08 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:11:08 INFO	train_fps: 2.86	std: 0.16	min: 0.15	max: 2.96	n: 1000
12/26/21 00:11:08 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.03	n: 10
12/26/21 00:11:08 INFO	val_fps: 0.93	std: 0.11	min: 0.66	max: 1.12	n: 10
12/26/21 00:17:20 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:17:20 INFO	train_fps: 2.87	std: 0.12	min: 0.11	max: 2.94	n: 1000
12/26/21 00:17:20 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.02	max: 0.03	n: 10
12/26/21 00:17:20 INFO	val_fps: 0.67	std: 0.09	min: 0.49	max: 0.80	n: 10
12/26/21 00:23:30 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:23:30 INFO	train_fps: 2.87	std: 0.12	min: 0.14	max: 2.95	n: 1000
12/26/21 00:23:30 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.03	n: 10
12/26/21 00:23:30 INFO	val_fps: 0.76	std: 0.17	min: 0.53	max: 1.06	n: 10
12/26/21 00:29:37 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:29:37 INFO	train_fps: 2.87	std: 0.12	min: 0.13	max: 2.94	n: 1000
12/26/21 00:29:37 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.02	max: 0.03	n: 10
12/26/21 00:29:37 INFO	val_fps: 0.92	std: 0.09	min: 0.69	max: 1.04	n: 10
12/26/21 00:35:43 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:35:43 INFO	train_fps: 2.87	std: 0.10	min: 0.12	max: 2.96	n: 1000
12/26/21 00:35:43 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.04	n: 10
12/26/21 00:35:43 INFO	val_fps: 0.97	std: 0.10	min: 0.75	max: 1.12	n: 10
12/26/21 00:41:49 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:41:49 INFO	train_fps: 2.88	std: 0.10	min: 0.11	max: 2.97	n: 1000
12/26/21 00:41:49 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.02	max: 0.03	n: 10
12/26/21 00:41:49 INFO	val_fps: 0.99	std: 0.11	min: 0.72	max: 1.15	n: 10
12/26/21 00:47:57 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
12/26/21 00:47:57 INFO	train_fps: 2.87	std: 0.11	min: 0.12	max: 2.94	n: 1000
12/26/21 00:47:57 INFO	val_loss_mean: 0.03	std: 0.00	min: 0.03	max: 0.03	n: 10
12/26/21 00:47:57 INFO	val_fps: 0.90	std: 0.19	min: 0.70	max: 1.17	n: 10
12/26/21 00:54:07 INFO	train_loss_mean: 0.02	std: 0.00	min: 0.02	max: 0.02	n: 1
